"id"	"name"
4	"Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
248	"Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
8	"Albania,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10"
12	"Algeria,32,51,43,30,58,59,58,84,0,0,76,94,119,118,94"
16	"American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20	"Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24	"Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
660	"Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
10	"Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
28	"Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
32	"Argentina,1062,691,718,792,786,1054,1020,937,801,640,552,688,735,643,509"
51	"Armenia,119,140,200,151,0,206,192,135,226,116,136,121,137,125,121"
533	"Aruba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
36	"Australia,1928,2187,2364,2418,2559,2555,2837,2718,2821,2494,2409,2383,2627,3061,1988"
40	"Austria,1961,1815,1932,2120,2248,2270,2271,2385,2298,2263,2424,2154,2258,2162,2092"
31	"Azerbaijan,0,203,234,246,270,281,246,287,226,264,254,193,144,156,168"
44	"Bahamas, The,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2"
48	"Bahrain,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6"
50	"Bangladesh,70,59,43,58,48,50,22,29,60,55,66,37,67,60,44"
52	"Barbados,0,0,0,2,0,0,0,3,1,0,0,0,0,3,1"
112	"Belarus,994,930,895,1082,1065,1166,1188,1405,1510,1753,1759,1725,1681,1489,652"
56	"Belgium,577,571,601,519,514,517,490,454,575,669,620,636,755,715,889"
84	"Belize,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
204	"Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60	"Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
64	"Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0"
68	"Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9"
535	"Bonaire, Saint Eustatius and Saba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
70	"Bosnia and Herzegovina,31,52,0,32,50,66,55,0,59,0,56,43,2,7,41"
72	"Botswana,0,0,0,0,0,0,0,0,0,0,0,1,5,8,4"
74	"Bouvet Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
76	"Brazil,3179,3439,3481,3866,4044,4054,3956,4194,4280,4271,4228,4695,4798,4959,4659"
86	"British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
92	"British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
96	"Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26"
100	"Bulgaria,231,283,289,278,263,261,243,211,249,242,243,262,245,282,218"
854	"Burkina Faso,2,0,0,1,2,1,0,0,0,0,2,0,0,0,0"
108	"Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
132	"Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
116	"Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2"
120	"Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
124	"Canada,4187,3963,3959,3929,5231,5183,5522,4998,5061,5067,4550,4754,4709,4567,4198"
136	"Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
140	"Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
148	"Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
152	"Chile,241,246,391,329,382,361,291,403,531,343,328,339,336,340,452"
156	"China,25346,30038,39806,56769,65786,93485,122318,153060,194579,229096,293066,415829,535313,704936,801135"
162	"Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
166	"Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
170	"Colombia,75,65,54,82,76,99,142,128,126,128,133,183,213,251,260"
174	"Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
180	"Congo, Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
178	"Congo, Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
184	"Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
188	"Costa Rica,0,0,0,0,0,0,0,0,0,0,8,14,10,21,16"
384	"Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0"
191	"Croatia,337,362,328,387,385,363,317,344,330,250,257,230,217,230,170"
192	"Cuba,0,0,0,0,0,105,94,74,69,59,0,62,38,27,24"
531	"Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
196	"Cyprus,0,0,0,12,9,20,0,3,11,6,4,0,4,2,4"
203	"Czech Republic,555,568,526,625,623,586,641,716,712,789,868,783,867,984,910"
208	"Denmark,1730,1757,1815,1772,1877,1658,1503,1660,1634,1518,1626,1574,1406,1341,1377"
262	"Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
212	"Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
214	"Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,18,11,13"
218	"Ecuador,10,7,13,7,14,11,8,4,2,6,4,0,0,0,0"
818	"Egypt, Arab Rep.,534,464,627,493,382,428,0,516,481,490,605,618,683,641,752"
222	"El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
226	"Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
232	"Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
233	"Estonia,13,18,19,18,27,23,36,44,62,76,84,62,20,25,44"
231	"Ethiopia,3,0,1,3,1,1,5,12,0,0,0,0,0,0,0"
238	"Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
234	"Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
242	"Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
246	"Finland,2579,2390,2162,1972,2011,1830,1816,1804,1799,1806,1731,1650,1698,1596,1419"
250	"France,13870,13499,13519,13511,14230,14327,14529,14722,14658,14100,14748,14655,14540,14690,14500"
254	"French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
258	"French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
260	"French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
266	"Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
270	"Gambia, The,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
268	"Georgia,232,254,194,195,249,225,236,248,222,256,183,138,139,114,110"
276	"Germany,51736,49989,47598,47818,48448,48367,48012,47853,49240,47859,47047,46986,46620,47353,48154"
288	"Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
292	"Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
300	"Greece,306,385,376,393,379,462,532,575,628,698,728,721,628,698,651"
304	"Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
308	"Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
312	"Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
316	"Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
320	"Guatemala,54,30,8,6,9,17,28,9,5,7,7,4,7,4,10"
831	"Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
324	"Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
624	"Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
328	"Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
332	"Haiti,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2"
334	"Heard Island and McDonald Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
336	"Holy See (Vatican City State),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
340	"Honduras,4,7,7,0,0,0,0,0,0,0,0,2,8,6,0"
344	"Hong Kong SAR, China,51,74,112,107,127,156,172,160,173,149,133,181,171,226,192"
348	"Hungary,810,919,842,756,748,705,718,689,683,757,649,662,692,642,546"
352	"Iceland,51,49,71,57,66,47,45,61,50,64,57,50,37,33,51"
356	"India,2206,2379,2693,3425,4014,4721,5686,6296,6425,7262,8853,8841,9553,10669,12040"
360	"Indonesia,157,212,234,201,227,235,288,284,386,415,508,533,0,663,702"
364	"Iran, Islamic Rep.,410,691,910,1287,2426,4051,5970,10648,15403,12184,11108,11529,10622,11305,13683"
368	"Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
372	"Ireland,925,1019,914,862,787,789,838,847,931,908,733,494,492,333,263"
833	"Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
376	"Israel,1599,1248,1213,1329,1544,1669,1342,1615,1528,1387,1450,1360,1319,1201,1125"
380	"Italy,7877,0,0,0,0,0,0,9255,8588,8814,8877,8794,8439,8307,8601"
388	"Jamaica,11,4,15,9,11,10,21,6,15,17,14,20,25,22,33"
392	"Japan,384201,382815,365204,358184,368416,367960,347060,333498,330110,295315,290081,287580,287013,271731,265959"
832	"Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
400	"Jordan,71,52,21,25,42,49,75,59,50,60,45,40,48,35,40"
398	"Kazakhstan,1399,1607,1594,1696,1756,1523,1433,1633,1483,1513,1691,1415,0,1824,1742"
404	"Kenya,0,0,23,22,31,34,41,41,63,48,77,135,123,127,132"
296	"Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0"
408	"Korea, Dem. People's Rep.,0,0,0,0,0,5861,6350,6846,0,7956,8018,7956,8354,0,0"
410	"Korea, Rep.,72831,73714,76570,90313,105250,122188,125476,128701,127114,127316,131805,138034,148136,159978,164073"
-2	"Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
414	"Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
417	"Kyrgyz Republic,80,84,123,179,0,0,0,155,135,146,134,124,110,111,132"
418	"Lao PDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
428	"Latvia,98,117,150,91,108,112,114,139,206,240,178,173,193,225,103"
422	"Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
426	"Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
430	"Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
434	"Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
438	"Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
440	"Lithuania,66,68,85,64,70,68,65,62,87,91,108,93,109,117,123"
442	"Luxembourg,85,51,41,16,23,24,26,15,48,60,79,85,109,113,128"
446	"Macao SAR, China,0,0,0,0,0,3,0,1,3,1,4,4,5,6,2"
807	"Macedonia, FYR,71,66,42,48,44,53,55,105,34,39,27,37,50,42,0"
450	"Madagascar,7,0,4,3,16,7,4,9,14,1,9,3,4,4,5"
454	"Malawi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
458	"Malaysia,206,271,322,376,522,522,531,670,818,1234,1231,1076,1114,1199,1353"
462	"Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
466	"Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
470	"Malta,23,26,22,0,0,0,0,10,14,8,12,9,11,13,5"
584	"Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
474	"Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
478	"Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
480	"Mauritius,0,0,0,0,0,0,0,0,2,0,0,1,4,2,0"
175	"Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
484	"Mexico,431,534,526,468,565,584,574,629,685,822,951,1065,1294,1210,1246"
583	"Micronesia, Fed. Sts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
498	"Moldova,240,437,239,293,297,377,303,333,273,134,139,97,93,67,67"
492	"Monaco,6,6,8,5,7,2,6,11,7,3,6,6,4,5,6"
496	"Mongolia,0,106,121,167,143,100,103,0,0,76,110,0,0,133,139"
499	"Montenegro,0,0,0,0,0,0,0,0,3,0,23,20,37,23,13"
500	"Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
504	"Morocco,104,0,0,0,104,140,178,150,177,135,152,169,197,316,355"
508	"Mozambique,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0"
104	"Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
516	"Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
520	"Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
524	"Nepal,0,0,0,0,0,0,0,0,0,0,0,8,4,18,0"
528	"Netherlands,2465,2110,2122,2288,2187,2217,2168,2079,2421,2575,2527,2585,2375,2315,2294"
540	"New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
554	"New Zealand,1463,1768,1839,1845,1631,1893,2153,1892,1256,1555,1585,1501,1425,1614,1636"
558	"Nicaragua,14,0,0,0,0,0,0,0,0,0,0,2,4,3,1"
562	"Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
566	"Nigeria,0,0,0,0,0,0,0,0,0,0,0,64,42,50,0"
570	"Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
574	"Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
-1	"Northern Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
580	"Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
578	"Norway,1311,1189,1178,1079,1142,1143,1119,1225,1150,1246,1117,1122,1009,1101,1106"
512	"Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
586	"Pakistan,46,58,55,57,73,143,91,109,170,0,114,92,96,151,146"
585	"Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
275	"Palestinian Territory, Occupied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
591	"Panama,7,0,0,0,0,0,0,0,0,0,0,21,0,9,13"
598	"Papua New Guinea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
600	"Paraguay,11,12,11,12,18,24,21,37,13,15,18,0,0,0,0"
604	"Peru,40,36,29,32,38,27,39,28,31,37,39,39,54,73,83"
608	"Philippines,154,135,149,141,158,210,223,225,216,172,170,186,162,220,334"
612	"Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
616	"Poland,2404,2202,2313,2268,2381,2028,2157,2392,2488,2899,3203,3879,4410,4237,3941"
620	"Portugal,81,107,130,125,123,158,184,250,381,571,499,571,621,647,722"
630	"Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
634	"Qatar,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5"
638	"Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
642	"Romania,1003,1128,1478,881,937,916,814,827,995,1054,1382,1424,1022,993,952"
643	"Russian Federation,23377,24777,23712,24969,22985,23644,27884,27505,27712,25598,28722,26495,28701,28765,24072"
646	"Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5"
652	"Saint Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
654	"Saint Helena, Ascension and Tristan da Cunha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
666	"Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
882	"Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
674	"San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
678	"Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
682	"Saudi Arabia,76,46,61,56,81,119,119,128,0,0,288,347,0,491,652"
686	"Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
688	"Serbia,0,0,0,0,473,372,432,395,386,319,290,180,192,201,202"
690	"Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
694	"Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
702	"Singapore,516,523,624,626,641,569,626,696,793,750,895,1056,1081,1143,1303"
534	"Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
703	"Slovak Republic,236,246,259,210,215,155,193,239,167,176,234,224,168,184,211"
705	"Slovenia,307,301,300,310,342,344,287,331,301,373,442,470,0,0,0"
90	"Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
706	"Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
-3	"Somaliland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
710	"South Africa,895,966,983,922,956,1003,866,915,860,822,821,656,608,638,802"
239	"South Georgia and the South Sandwich Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
728	"South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
724	"Spain,2710,2528,2763,2813,2871,3040,3111,3267,3632,3596,3566,3430,3266,3026,2953"
144	"Sri Lanka,71,120,123,95,120,149,153,151,201,202,225,194,0,328,0"
659	"St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
662	"St. Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
663	"St. Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
670	"St. Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
729	"Sudan,6,1,2,6,4,6,3,3,0,0,0,0,0,0,0"
740	"Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
744	"Svalbard and Jan Mayen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
748	"Swaziland,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0"
752	"Sweden,4224,3926,3358,3025,2768,2522,2446,2527,2549,2186,2196,2004,2288,2332,1984"
756	"Switzerland,2083,1859,1827,1831,1742,1643,1740,1692,1594,1684,1622,1597,1480,1525,1480"
760	"Syrian Arab Republic,247,189,183,213,205,105,124,0,0,0,0,0,0,0,0"
158	"Taiwan, Province of China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
762	"Tajikistan,45,83,39,30,32,30,26,0,0,11,7,4,3,2,0"
834	"Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
764	"Thailand,561,534,615,802,819,891,1040,945,902,1025,1214,927,1020,1572,1006"
626	"Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
768	"Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
772	"Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
776	"Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
780	"Trinidad and Tobago,0,0,2,0,3,1,0,2,1,0,0,0,3,1,2"
788	"Tunisia,47,22,45,35,46,56,77,76,76,105,113,137,150,112,142"
792	"Turkey,277,337,414,489,682,928,1072,1810,2221,2555,3180,3885,4434,4392,4766"
795	"Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
796	"Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
798	"Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
800	"Uganda,0,0,0,5,12,3,11,6,0,0,0,0,0,10,5"
804	"Ukraine,5620,7208,1601,1635,4090,3538,3474,3440,2825,2434,2556,2649,2491,2856,2457"
784	"United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,26,20,18,24"
826	"United Kingdom,22050,21423,20624,20426,19178,17833,17484,17375,16523,15985,15490,15343,15370,14972,15196"
840	"United States,164795,177513,184245,188941,189536,207867,221784,241347,231588,224912,241977,247750,268782,287831,285096"
581	"United States Minor Outlying Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
858	"Uruguay,44,52,30,45,37,24,31,35,33,30,23,20,22,0,37"
860	"Uzbekistan,755,803,715,931,273,264,323,324,262,238,370,282,257,299,345"
548	"Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
862	"Venezuela, RB,56,0,0,0,0,0,0,0,0,0,0,33,0,0,0"
704	"Vietnam,34,52,69,78,103,180,196,219,204,258,306,300,382,443,487"
850	"Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
876	"Wallis and Futuna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
732	"Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
887	"Yemen, Rep.,7,6,9,16,10,20,14,11,0,0,20,7,36,43,29"
894	"Zambia,0,6,3,3,1,5,4,19,26,9,5,3,7,13,14"
716	"Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
